Protein	Beg	End	Reference
TRNAR-UCU	1592794	1592721	chr25
LOC101747815	1636057	1665191	chr25
CRP	1664763	1677865	chr25
CADM3	1665567	1671257	chr25
LOC101752245	1671412	1673744	chr25
CRP	1674627	1675765	chr25
DUSP23	1677938	1680507	chr25
IGSF9	1682128	1692979	chr25
LOC101748032	1694997	1693103	chr25
LOC101747983	1695763	1697215	chr25
SSR2	1697643	1699755	chr25
CTSS	1705069	1700501	chr25
CTSK	1708453	1705617	chr25
ARNT	1730021	1709351	chr25
LOC100859816	1732241	1746180	chr25
LOC100859441	1750514	1746422	chr25
LOC100859849	1758101	1751174	chr25
PRUNE	1757858	1761577	chr25
LOC100859506	1765071	1761746	chr25
SETDB1	1765677	1768508	chr25
LOC425659	1769425	1776813	chr25
LOC100859892	1784222	1777889	chr25
LOC101749905	1785839	1784787	chr25
LOC425744	1786323	1788995	chr25
TMOD4	1792507	1788999	chr25
LOC100859689	1795288	1792976	chr25
PIP5K1A	1795644	1811863	chr25
PSMD4	1813687	1817716	chr25
ZNF687	1818563	1830615	chr25
LOC100859723	1846794	1829861	chr25
LOC100857138	1851422	1847471	chr25
LOC100859776	1858112	1851680	chr25
LOC100857166	1865349	1859804	chr25
LOC100857190	1874456	1870718	chr25
LOC100857226	1887478	1877550	chr25
LOC101751150	1905427	1914240	chr25
LOC100857262	1918574	1914482	chr25
LOC100857795	1926161	1919234	chr25
LOC100857290	1925918	1929637	chr25
CDC42SE1	1933131	1929806	chr25
LOC100857355	1933737	1936568	chr25
LOC100857414	1937485	1944873	chr25
SEMA6C	1952282	1945949	chr25
LOC100857442	1954505	1952842	chr25
SCNM1	1954378	1957055	chr25
LOC100857513	1960632	1957057	chr25
VPS72	1963348	1961036	chr25
LOC100857846	1964772	1979953	chr25
LOC100857577	1981380	1985471	chr25
LOC100857876	1986318	1998366	chr25
PI4KB	2014545	1997612	chr25
LOC100857912	2019173	2015222	chr25
LOC425662	2025863	2019431	chr25
LOC429984	2033100	2027555	chr25
LOC425663	2042207	2038469	chr25
SELENBP1	2055234	2045307	chr25
POGZ	2059700	2086119	chr25
PSMB4	2089271	2086917	chr25
CGN	2089425	2102566	chr25
LOC101749610	2103566	2113865	chr25
TUFT1	2114122	2117226	chr25
SNX27	2117990	2133889	chr25
CELF3	2144708	2135582	chr25
TDRKH	2152004	2148044	chr25
RORC	2156541	2153062	chr25
THEM4	2163788	2161976	chr25
S100A10	2186044	2166976	chr25
DEDD	2169167	2177884	chr25
NIT1	2181445	2178681	chr25
PFDN2	2181454	2183167	chr25
LOC776719	2183573	2189838	chr25
LOC770490	118243	117586	chr25_random
NR1I3	119491	122310	chr25_random
SCAMP3	55582	53551	chr25_random
CLK2	64790	57110	chr25_random
LOC100858929	7855	9729	chr25_random
LOC100858962	13517	10738	chr25_random
LOC100858999	14067	15055	chr25_random
LOC100859033	94889	95497	chr25_random
LOC101749587	50298	49592	chr25_random
JTB	17573	18136	chr25_random
LOC101749706	94402	93858	chr25_random
LOC100859095	18522	22680	chr25_random
RPRD2	40141	32590	chr25_random
LOC100859194	40579	45855	chr25_random
ARHGEF11	105277	114409	chr25_random
LOC425540	9195	16012	chr26
MICAL1	16131	27203	chr26
SMPD2	30646	27209	chr26
TEAD3	43373	31448	chr26
TULP1	59279	55541	chr26
FKBP5	73894	63521	chr26
CLPS	88370	87738	chr26
LHFPL5	89274	92607	chr26
SRPK1	113029	93144	chr26
SLC26A8	134464	113225	chr26
MAPK14	134241	157676	chr26
MAPK13	158753	178007	chr26
LOC771161	184274	178065	chr26
BRPF3	184444	201984	chr26
TBC1D22B	219264	203673	chr26
LOC101747295	219345	225191	chr26
PIM1	227828	225227	chr26
CACNA1S	247473	275214	chr26
KIF21B	276165	305332	chr26
ELF3	310244	314198	chr26
LOC101748005	332604	323322	chr26
GPR37L1	335226	339906	chr26
ARL8A	351521	341537	chr26
PTPN7	360734	353985	chr26
PTPRVP	371617	394960	chr26
LGR6	395067	466626	chr26
ZC3H11A	467889	481411	chr26
RDBP	486318	483296	chr26
KLHL12	486373	498815	chr26
LOC101748977	500530	507381	chr26
RABIF	508883	510129	chr26
TUBA3E	515419	520739	chr26
KDM5B	538800	559730	chr26
IPO9	561785	579583	chr26
LZTR1	580444	600796	chr26
RNPEP	607236	602460	chr26
NAV1	613692	652558	chr26
SYT2	653981	667114	chr26
PPP1R12B	689996	669694	chr26
LOC101749340	753652	702690	chr26
CSRP1	757211	765376	chr26
LOC100859283	766409	769009	chr26
TNNI1	772027	777487	chr26
LAD1	779360	788754	chr26
TNNT2	789217	797492	chr26
PKP1	845925	808148	chr26
IGFN1	891758	852862	chr26
TMEM9	892801	896519	chr26
MGAT4C	901921	897286	chr26
TMEM183A	916796	905141	chr26
PPFIA4	935497	960017	chr26
MYOG	963801	960400	chr26
ADORA1	973520	990540	chr26
MYBPH	1002619	993111	chr26
DENND2D	1011902	1019896	chr26
CEPT1	1047247	1024098	chr26
DRAM2	1049126	1062610	chr26
LRIF1	1071140	1060256	chr26
LOC395100	1078330	1071848	chr26
UBE2T	1081205	1084445	chr26
LOC428541	1087718	1084451	chr26
ADIPOR1	1088478	1094154	chr26
TIMM17A	1102768	1094584	chr26
LMOD1	1105384	1115034	chr26
KIAA1324	1128788	1137029	chr26
SARS	1139129	1143274	chr26
AHCYL1	1251359	1261658	chr26
ALX3	1273801	1271168	chr26
SLC6A17	1296142	1302939	chr26
KCNC4	1309320	1327582	chr26
LOC101752199	1333879	1335130	chr26
LOC100859595	1342934	1350526	chr26
SLC16A4	1365821	1356642	chr26
PROK1	1365769	1374790	chr26
HBXIP	1369391	1367161	chr26
LOC395926	1376304	1379433	chr26
KCNA10	1383136	1381287	chr26
KCNA2	1414588	1412313	chr26
KCNA3	1436594	1435026	chr26
LOC428258	1459160	1472943	chr26
PNPLA1	1474155	1467001	chr26
C26H6orf222	1480429	1475959	chr26
ETV7	1487684	1482410	chr26
KCTD20	1487844	1507003	chr26
STK38	1519481	1507195	chr26
LOC100859768	1527429	1520036	chr26
SRSF3	1527514	1533450	chr26
CIP1	1535470	1545032	chr26
LOC100859805	1545386	1557259	chr26
C26H6ORF89	1558223	1578871	chr26
PI16	1581163	1588373	chr26
MIRLET7J	1592000	1591918	chr26
MIRLET7K	1592200	1592118	chr26
SOX13	1610760	1656541	chr26
MTCH1	1619789	1611522	chr26
SNRPE	1620307	1622179	chr26
ETNK2	1665193	1657168	chr26
REN	1673054	1667490	chr26
GOLT1A	1675896	1675162	chr26
PLEKHA6	1720793	1677584	chr26
PPP1R15B	1731831	1727236	chr26
PIK3C2B	1748880	1733478	chr26
TRNAK-UUU	1754197	1754269	chr26
TRNAK-UUU	1754605	1754533	chr26
MDM4	1754950	1778758	chr26
LRRN2	1802908	1783595	chr26
NFASC	1841734	1918228	chr26
CNTN2	1920859	1944417	chr26
TMEM81	1955278	1953336	chr26
RBBP5	1964702	1955376	chr26
DSTYK	1987419	1967742	chr26
TMCC2	1988037	2008831	chr26
NUAK2	2024449	2015831	chr26
KLHDC8A	2040328	2031376	chr26
LOC419830	2051817	2045552	chr26
TRNAW-CCA	2052825	2052754	chr26
LOC101751422	2080708	2056139	chr26
MIR135A-3	2065589	2065494	chr26
LOC101751945	2091451	2094817	chr26
PCTK3	2098858	2115273	chr26
MFSD4	2119287	2133580	chr26
ELK4	2154097	2134507	chr26
LOC419834	2164686	2157039	chr26
SLC45A3	2188223	2165569	chr26
NUCKS1	2218687	2205318	chr26
RAB7L1	2228447	2220165	chr26
MIR1797	2220900	2220800	chr26
SLC41A1	2244486	2226502	chr26
PM20D1	2261807	2250626	chr26
SLC26A9	2283586	2263640	chr26
LOC771782	2294182	2290367	chr26
CTSE	2311007	2296675	chr26
LOC419840	2298506	2301093	chr26
C26H1orf186	2302284	2306961	chr26
AVPR1B	2309743	2307761	chr26
FAM72A	2330123	2325313	chr26
SRGAP2	2331318	2414742	chr26
IKBKE	2416761	2427531	chr26
RASSF5	2438015	2447845	chr26
EIF2D	2457836	2448000	chr26
DYRK3	2458649	2465602	chr26
MAPKAPK2	2470747	2495592	chr26
IL10	2506341	2504107	chr26
IL19	2516708	2520717	chr26
PIGR	2532116	2521558	chr26
LOC101748581	2542998	2532003	chr26
C1ORF116	2552537	2546894	chr26
YOD1	2560170	2556703	chr26
PFKFB2	2560503	2573523	chr26
LOC419851	2575960	2583374	chr26
CD55	2595440	2598997	chr26
CR1L	2599568	2605277	chr26
C4BPA	2628648	2639018	chr26
MIR29C	2640793	2640705	chr26
MIR29B-2	2641695	2641616	chr26
CD34	2678876	2668373	chr26
PLXNA2	2786695	2695545	chr26
LOC100857680	3041075	2935960	chr26
MIR205A	3017914	3018009	chr26
CAMK1G	3044016	3055731	chr26
LAMB3	3076021	3055344	chr26
G0S2	3082074	3082959	chr26
LOC771930	3086849	3091804	chr26
HSD11B1	3092845	3095732	chr26
TRAF3IP3	3095880	3106168	chr26
C1ORF74	3107942	3106659	chr26
IRF6	3115112	3108240	chr26
GUCA1B	3118917	3122452	chr26
GUCA1A	3130279	3125877	chr26
C26H6orf132	3135613	3151307	chr26
WDR77	3170794	3152910	chr26
ATP5F1	3157221	3160674	chr26
ADORA3	3167419	3165078	chr26
RAP1A	3176480	3198344	chr26
LOC101751323	3203738	3197901	chr26
C1ORF183	3219184	3208476	chr26
DDX20	3226172	3232691	chr26
KCND3	3328397	3240503	chr26
CTTNBP2NL	3400085	3416028	chr26
WNT2B	3436532	3447136	chr26
ST7L	3474519	3455410	chr26
CAPZA1	3474674	3484620	chr26
MOV10	3486369	3492335	chr26
RHOC	3497763	3492792	chr26
PPM1J	3506175	3498328	chr26
FAM19A3	3513349	3519521	chr26
LOC101751587	3538367	3529969	chr26
SLC16A1	3567609	3552668	chr26
MIR1669	3568060	3568150	chr26
LRIG2	3579287	3597005	chr26
LOC101751734	3601392	3604198	chr26
MAGI3	3631291	3660589	chr26
PHTF1	3671416	3660356	chr26
RSBN1	3684482	3673204	chr26
PTPN22	3701606	3688271	chr26
BCL2L15	3704709	3701944	chr26
AP4B1	3711908	3705332	chr26
DCLRE1B	3711631	3714553	chr26
HIPK1	3719355	3742802	chr26
OLFML3	3742999	3744594	chr26
SYT6	3778677	3750025	chr26
TRIM33	3807691	3787608	chr26
BCAS2	3814324	3811313	chr26
DENND2C	3828819	3814340	chr26
AMPD1	3843753	3833681	chr26
NRAS	3854232	3847830	chr26
CSDE1	3871715	3854379	chr26
SIKE1	3876908	3872299	chr26
LOC419888	3882638	3894046	chr26
SYCP1	3892650	3916762	chr26
TSHB	3921346	3924240	chr26
TSPAN2	3947040	3927143	chr26
LOC101747848	3951088	3957725	chr26
NGF	3992362	3969390	chr26
LOC101747895	4007133	4001255	chr26
LOC101747934	4018627	4007413	chr26
FANCE	4026222	4021837	chr26
MKRN3	4028459	4026323	chr26
PPARD	4047758	4031134	chr26
DEF6	4062069	4050280	chr26
ZNF76	4072067	4062586	chr26
RPL10A	4072161	4075900	chr26
SCUBE3	4118386	4076781	chr26
TCP11	4119188	4126953	chr26
ANKS1A	4213492	4127869	chr26
TAF11	4214176	4217457	chr26
UHRF1BP1	4245259	4217725	chr26
SNRPC	4252062	4248028	chr26
C26H6ORF106	4253803	4285667	chr26
SPDEF	4291101	4300683	chr26
PACSIN1	4306211	4301449	chr26
RPS10	4318563	4324086	chr26
NUDT3	4325938	4345976	chr26
LOC100858737	4354528	4356399	chr26
GRM4	4380152	4414653	chr26
LOC101750261	4425604	4479250	chr26
RHO	4502051	4496441	chr26
MLN	4513010	4519230	chr26
LEMD2	4523887	4535433	chr26
IP6K3	4540545	4553338	chr26
C26H6ORF125	4554856	4559638	chr26
ITPR3	4599056	4560709	chr26
LOC768477	4617299	4608807	chr26
BAK1	4618775	4627197	chr26
TSPO2	4636005	4645075	chr26
APOBEC2	4648331	4656180	chr26
C26H6ORF130	4660254	4657006	chr26
NFYA	4660732	4674992	chr26
LOC768535	4685390	4678904	chr26
TREM2	4691090	4686703	chr26
TREML2	4699278	4693285	chr26
LOC100858470	4699469	4734646	chr26
LOC100858652	4781990	4822012	chr26
MDFI	4829003	4843968	chr26
LOC100858996	4878510	4918528	chr26
LOC100859031	4925519	4940484	chr26
TFEB	4974337	4960031	chr26
LOC428272	4979092	4975987	chr26
PGC	4984806	4980962	chr26
FRS3	4999243	4986564	chr26
LOC100859351	5001104	5007628	chr26
LOC101749017	5019397	5007726	chr26
TOMM6	5019499	5020434	chr26
USP49	5053209	5020288	chr26
MED20	5060763	5056219	chr26
BYSL	5060810	5063514	chr26
CCND3	5077551	5065114	chr26
TAF8	5103140	5110524	chr26
C26H1ORF88	5114949	5112283	chr26
CHIA	5120061	5115413	chr26
CHIA	5126812	5122693	chr26
LOC768786	5131632	5129618	chr26
BTG2	5157221	5161259	chr26
FMOD	5174255	5167693	chr26
PRELP	5197903	5208917	chr26
OPTC	5211418	5214381	chr26
ATP2B4	5244606	5281664	chr26
LOC101750243	5301297	5307243	chr26
LOC101750369	5309338	5314306	chr26
LOC768941	7391	6459	chr27
LOC101750581	11694	10722	chr27
LOC768958	19211	18273	chr27
LOC419936	29994	27223	chr27
LOC101750754	36152	34759	chr27
LOC101750864	38856	37433	chr27
LOC101751094	51047	49159	chr27
LOH11CR2A	104101	115701	chr27
DAD1	116781	119543	chr27
LOC769232	520503	125890	chr27
LOC101748259	208052	204138	chr27
LOC101748185	211707	210473	chr27
LOC101748117	217757	217066	chr27
LOC101748053	223798	222997	chr27
LOC100859843	234689	233643	chr27
LOC101747854	290310	289359	chr27
LOC101747797	341729	340887	chr27
LOC101747732	350781	350022	chr27
LOC101747664	370934	368899	chr27
LOC101747602	378450	374946	chr27
LOC101747562	384262	382802	chr27
LOC101747464	395289	390890	chr27
TCRA	429798	422758	chr27
LOC101752314	440966	435176	chr27
LOC101752222	442919	441947	chr27
LOC101752169	444559	442861	chr27
LOC769422	527714	525410	chr27
LOC770434	533819	534124	chr27
LOC769476	539765	535074	chr27
LOC101751999	540834	539650	chr27
LOC769638	558171	556058	chr27
LOC101751813	559811	558160	chr27
LOC429206	566720	567025	chr27
LOC430902	590661	589317	chr27
LOC425497	603724	591859	chr27
LOC101751761	621130	620090	chr27
LOC769926	628521	628826	chr27
LOC101748908	630475	629315	chr27
LOC769964	637817	635982	chr27
LOC101751643	638872	638365	chr27
LOC425854	645348	646605	chr27
LOC770074	651734	648495	chr27
LOC101751522	653448	651630	chr27
LOC101749018	672352	661796	chr27
LOC427060	673465	713658	chr27
LOC101749128	715232	714626	chr27
LOC431276	723024	723329	chr27
LOC101749259	727315	726618	chr27
LOC101749309	737914	736416	chr27
FK27	746620	747286	chr27
FK21	767372	768019	chr27
LOC770639	772971	773704	chr27
LOC770684	777121	778134	chr27
LOC101749612	784680	784003	chr27
LOC428303	788496	798462	chr27
LOC101749907	799813	799156	chr27
LOC100858224	804413	805151	chr27
LOC428301	808633	807661	chr27
LOC428299	829121	828816	chr27
LOC428298	838445	838140	chr27
LOC428297	842626	843765	chr27
LOC100858427	851123	850818	chr27
LOC428295	857963	856311	chr27
LOC100859466	866413	866108	chr27
LOC428293	874598	874903	chr27
LOC428291	899566	899871	chr27
LOC100859690	1048415	1045501	chr27
LOC771021	1048838	1049152	chr27
GTSF1	1057049	1068318	chr27
GOSR2	1087786	1075969	chr27
LOC101752000	1087855	1090509	chr27
WNT9B	1122644	1109863	chr27
WNT3	1136139	1157180	chr27
NSF	1215306	1159105	chr27
C27H17ORF104	1219432	1234440	chr27
CCDC43	1244170	1236372	chr27
DBF4B	1244312	1254466	chr27
ADAM11	1256544	1265987	chr27
GJC1	1276164	1272878	chr27
EFTUD2	1302968	1287312	chr27
CCDC103	1303105	1306950	chr27
LOC101747521	1307884	1310619	chr27
GFAP	1314846	1310309	chr27
KIF18B	1323798	1315855	chr27
C1QL4	1331767	1324436	chr27
DCAKD	1341573	1331829	chr27
NMT1	1341514	1351503	chr27
PLCD3	1358168	1352281	chr27
HEXIM1	1361629	1367668	chr27
HEXIM1	1369466	1370287	chr27
LOC101748368	1374088	1370769	chr27
LOC428278	1376775	1381030	chr27
FMNL1	1387441	1407123	chr27
MAP3K14	1422008	1407797	chr27
LOC101747798	1417834	1422393	chr27
MYO1D	1430380	1500250	chr27
LOC101748545	1492803	1489187	chr27
PSMD11	1508662	1502529	chr27
FZD2	1517125	1515349	chr27
GPATCH8	1523236	1551193	chr27
ARHGAP27	1585619	1570527	chr27
LOC101748909	1580337	1578708	chr27
LOC101748846	1581346	1582862	chr27
PLEKHM1	1601817	1586681	chr27
LOC101748951	1611503	1603215	chr27
RDM1	1616617	1611796	chr27
GH	1620202	1616696	chr27
CD79B	1627022	1622586	chr27
SCN4A	1653359	1629152	chr27
LOC771308	1668864	1662332	chr27
PSMC5	1671191	1704881	chr27
AGPAT1	1671779	1682193	chr27
A2ML4	1683174	1693875	chr27
FTSJ3	1700893	1694089	chr27
SMARCD2	1716202	1705563	chr27
ACCN1	2179576	1767580	chr27
LOC101749945	1844655	1819102	chr27
LOC101749908	2087313	2074099	chr27
CRHR1	2227301	2251193	chr27
LOC425470	2274027	2278165	chr27
RPRML	2299300	2297742	chr27
ITGB3	2302597	2319626	chr27
EFCAB3	2320553	2331600	chr27
METTL2A	2332100	2344617	chr27
TLK2	2356639	2397702	chr27
MRC2	2412640	2426644	chr27
LOC101750687	2439118	2426849	chr27
TRNAS-GCU	2432266	2432185	chr27
TANC2	2460740	2634187	chr27
CYB561	2639221	2634569	chr27
ACE	2646484	2662837	chr27
KCNH6	2671862	2697224	chr27
DCAF7	2698550	2714283	chr27
MAP3K3	2720133	2759958	chr27
LIMD2	2769010	2764310	chr27
RNF113A	2775148	2781204	chr27
STRADA	2793216	2782102	chr27
CCDC47	2803491	2794192	chr27
DDX42	2803637	2820057	chr27
LOC428277	2827170	2819478	chr27
MYL4	2829269	2834421	chr27
CDC27	2837938	2864743	chr27
LOC101751949	2875650	2869748	chr27
KANSL1	2884703	2934787	chr27
MAPT	2963524	2938401	chr27
SLC25A39	2980152	2984859	chr27
RUNDC3A	2988223	2984908	chr27
DLX3	2989450	2993234	chr27
LOC769348	3000586	2998128	chr27
MYST2	3092426	3080954	chr27
FAM117A	3103432	3120859	chr27
SLC35B1	3121379	3124523	chr27
SPOP	3147717	3160130	chr27
NXPH3	3176934	3172367	chr27
NGFR	3218988	3207546	chr27
LOC429785	3247885	3240205	chr27
MPP3	3250307	3269716	chr27
C27H17ORF105	3270100	3268942	chr27
LOC425531	3276489	3270517	chr27
DUSP3	3278978	3283457	chr27
SOST	3288236	3293409	chr27
MEOX1	3315415	3320993	chr27
LOC101749971	3333434	3339473	chr27
ETV4	3344515	3350183	chr27
DHX8	3364998	3353709	chr27
PHB	3366784	3370923	chr27
LOC101750197	3378256	3371020	chr27
ZNF652	3378368	3402113	chr27
PHOSPHO1	3414760	3416484	chr27
ABI3	3426017	3417585	chr27
LOC101750432	3426347	3422084	chr27
LOC100859179	3423446	3425629	chr27
TRNAQ-UUG	3426779	3426708	chr27
IGF2BP1	3458639	3434464	chr27
GIP	3468107	3475761	chr27
SNF8	3476040	3479324	chr27
UBE2Z	3491491	3479607	chr27
ATP5G1	3495484	3493213	chr27
CALCOCO2	3495741	3505312	chr27
LOC101751129	3511593	3521597	chr27
HOXB13	3529535	3532219	chr27
MIR196-1	3561326	3561420	chr27
HOXB9	3568617	3573265	chr27
HOXB8	3581614	3583239	chr27
HOXB7	3585846	3590166	chr27
HOXB6	3592182	3601182	chr27
HOXB5	3604171	3606598	chr27
MIR10A	3620210	3620283	chr27
HOXB4	3621360	3626264	chr27
HOXB3	3644584	3646832	chr27
HOXB2	3652538	3655351	chr27
HOXB1	3662963	3665713	chr27
LOC101751741	3687780	3675107	chr27
LOC419994	3710854	3748746	chr27
LOC101751838	3770669	3765620	chr27
LOC101752206	3811598	3820270	chr27
SNX11	3842162	3836213	chr27
CBX1	3842373	3850286	chr27
NFE2L1	3883707	3853453	chr27
CDK5RAP3	3868821	3865876	chr27
PRR15L	3869380	3870517	chr27
SP2	3879329	3873162	chr27
SCRN2	3886514	3896596	chr27
LRRC46	3899664	3896569	chr27
MRPL10	3899666	3901658	chr27
OSBPL7	3902856	3907528	chr27
SRCIN1	3917092	3908432	chr27
MLLT6	3971421	4004267	chr27
MIR1735	3990639	3990717	chr27
LOC100857847	4006812	4007490	chr27
PCGF2	4011942	4008050	chr27
PSMB3	4012051	4017029	chr27
TRNAN-GUU	4012505	4012578	chr27
PIP4K2B	4027572	4020625	chr27
CWC25	4039579	4034878	chr27
TRNAC-GCA	4040287	4040216	chr27
TRNAC-GCA	4040582	4040511	chr27
TRNAC-GCA	4040897	4040826	chr27
TRNAC-GCA	4041301	4041230	chr27
TRNAC-GCA	4041699	4041628	chr27
TRNAC-GCA	4042052	4041981	chr27
TRNAC-GCA	4044558	4044487	chr27
TRNAC-GCA	4045059	4044988	chr27
TRNAC-GCA	4045412	4045341	chr27
RPL23	4048845	4046897	chr27
TRNAC-GCA	4049226	4049155	chr27
LASP1	4053822	4068545	chr27
FBXO47	4084313	4074050	chr27
LOC101749109	4084461	4087659	chr27
PLXDC1	4100889	4089137	chr27
LOC100858629	4103410	4108965	chr27
LOC777366	4114565	4109084	chr27
RPL19	4119554	4121901	chr27
FBXL20	4140408	4122165	chr27
MED1	4157913	4144307	chr27
CDK12	4158453	4181326	chr27
PPP1R1B	4207812	4211600	chr27
STARD3	4214920	4228623	chr27
PNMT	4232086	4234047	chr27
PGAP3	4237312	4234627	chr27
ERBB2	4240232	4246638	chr27
MIEN1	4249100	4247349	chr27
GRB7	4249921	4255704	chr27
LOC100858293	4255949	4258262	chr27
IKZF3	4279833	4261770	chr27
ZPBP2	4285043	4289829	chr27
LOC100858806	4296257	4293798	chr27
ORMDL3	4300734	4308227	chr27
GSDMA	4309012	4313782	chr27
PSMD3	4314240	4317987	chr27
CSF3	4319581	4321462	chr27
MED24	4339275	4323152	chr27
THRA	4342498	4348356	chr27
MSL1	4367379	4370260	chr27
CASC3	4370205	4379454	chr27
WIPF2	4386606	4391407	chr27
LOC100857489	4392883	4396098	chr27
TOP2A	4451174	4416655	chr27
IGFBP4	4417810	4447344	chr27
LOC101747522	4440063	4434586	chr27
CCR7	4476503	4467773	chr27
SMARCE1	4498265	4483723	chr27
KRT222	4506323	4500721	chr27
KRT12	4516040	4508060	chr27
KRT20	4520191	4516078	chr27
KRT23	4539455	4529606	chr27
KRT15	4546407	4541982	chr27
KRT19	4553981	4549319	chr27
LOC420043	4564923	4554071	chr27
LOC100857659	4573336	4569143	chr27
LOC771977	4579105	4574055	chr27
LOC420041	4592087	4582943	chr27
LOC772080	4598048	4592540	chr27
LOC420039	4612284	4602298	chr27
LOC771995	4618689	4612219	chr27
KRT14	4622608	4618778	chr27
LOC100858439	4629420	4625548	chr27
EIF1	4641617	4643430	chr27
LOC396365	4645878	4646526	chr27
TRAK1	4655758	4646582	chr27
JUP	4673620	4658140	chr27
LOC430099	4678758	4674822	chr27
FKBP10	4679783	4685411	chr27
NT5C3L	4690379	4685681	chr27
KLHL10	4690884	4694647	chr27
KLHL11	4700783	4694818	chr27
ACLY	4725026	4701292	chr27
TTC25	4726345	4733747	chr27
CNP	4733938	4738865	chr27
DNAJC7	4758336	4739048	chr27
NKIRAS2	4758782	4760711	chr27
ZNF385C	4813991	4760727	chr27
LOC420030	4782461	4776138	chr27
DHX58	4826849	4818898	chr27
KAT2A	4833774	4827001	chr27
LOC772158	4834451	4833631	chr27
HSP25	4835311	4836169	chr27
RAB5C	4841685	4837932	chr27
KCNH4	4856986	4847654	chr27
HCRT	4858313	4857256	chr27
PLCD4	4864872	4858830	chr27
GHDC	4874056	4871082	chr27
STAT5B	4886606	4875163	chr27
LOC101747816	4894163	4890415	chr27
STAT3	4906234	4898126	chr27
PTRF	4926852	4912304	chr27
ATP6V0A1	4929740	4956916	chr27
MLX	4957131	4970410	chr27
HSD17B1	4962210	4963268	chr27
PSMC3IP	4972632	4970653	chr27
FAM134C	4981869	4973795	chr27
TUBG1	4982350	4989078	chr27
PLEKHH3	4994492	4990207	chr27
CCR10	5003912	4999645	chr27
CNTNAP1	5005156	5012578	chr27
EZH1	5027429	5012813	chr27
RAMP2	5030484	5031907	chr27
VPS25	5032254	5034705	chr27
LOC777580	5039168	5050637	chr27
CCDC56	5051401	5050752	chr27
CNTD1	5051490	5056075	chr27
BECN1	5060519	5055736	chr27
PSME3	5060694	5067400	chr27
AOC3	5068101	5081524	chr27
LOC100857298	5084009	5087423	chr27
AARSD1	5094979	5088479	chr27
RPL27	5099248	5101509	chr27
IFI35	5102071	5105302	chr27
LOC420010	5105575	5111726	chr27
VAT1	5120982	5112058	chr27
RND2	5126651	5140086	chr27
BRCA1	5171059	5150701	chr27
NBR1	5171435	5191675	chr27
MPP2	5202788	5189971	chr27
LOC428287	8498	9185	chr27_random
TBKBP1	56958	54197	chr27_random
NPEPPS	80232	58886	chr27_random
KPNB1	110010	92479	chr27_random
MRPL45	112896	115994	chr27_random
SOCS7	118660	122928	chr27_random
LOC100859469	141987	137568	chr27_random
LOC100859500	269841	270176	chr27_random
LOC428289	275750	275421	chr27_random
LOC770926	282238	281234	chr27_random
LOC770940	284629	285351	chr27_random
LOC101750872	132655	131763	chr27_random
LOC101750937	178022	177356	chr27_random
LOC101751000	162508	163528	chr27_random
LOC100859830	148741	149480	chr27_random
LOC100859868	264014	263709	chr27_random
LOC426957	248482	247403	chr27_random
COL1A1	175541	175987	chr27_random
LOC100857271	213731	212141	chr27_random
LOC100859149	12732	8860	chr28
MVP	12810	22585	chr28
LOC101749461	94784	22786	chr28
LOC420050	152725	98341	chr28
LOC100859213	176645	194988	chr28
LOC101749343	233209	235991	chr28
FBN3	271668	395692	chr28
LOC101749435	402951	400385	chr28
CTXN1	418151	410291	chr28
LOC420052	449083	446799	chr28
LOC101749566	460514	464865	chr28
TIMM44	508047	486932	chr28
HNRNPM	534490	509128	chr28
LASS4	539019	549761	chr28
LOC428319	557346	551471	chr28
LSM7	564318	558963	chr28
SPPL2B	564384	599426	chr28
TMPRSS9	606065	627377	chr28
TIMM13	628560	627974	chr28
LMNB2	661723	635897	chr28
RPL36	676818	677658	chr28
LONP1	694762	679171	chr28
SLC1A6	725841	697338	chr28
RANBP3	737292	778151	chr28
LOC101749523	778485	780151	chr28
LOC101750889	781457	784808	chr28
LOC101750992	793498	789282	chr28
NDUFA11	797477	794168	chr28
LOC100857333	801101	798946	chr28
BTN1A1	808851	803320	chr28
LOC101751257	809426	812221	chr28
MARCH2	832087	813671	chr28
RAB11B	845989	833126	chr28
ANGPTL4	858513	850159	chr28
ANKRD47	880768	886837	chr28
RPS28	888943	888374	chr28
NDUFA7	889140	890196	chr28
CD320	891165	894523	chr28
ADMP	901661	899425	chr28
PRAM1	906907	912150	chr28
LOC428322	912528	918724	chr28
ELAVL1	976281	932567	chr28
MATK	958657	965535	chr28
LOC769223	965527	973229	chr28
RAX2	972503	976394	chr28
LOC429451	983104	976357	chr28
MRPL54	984926	983598	chr28
APBA3	985468	990848	chr28
TJP3	1002098	991058	chr28
PIP5K1C	1002944	1034960	chr28
CACTIN	1036020	1041467	chr28
TBXA2R	1042354	1045859	chr28
LOC101749202	1046635	1046980	chr28
LOC100857667	1049675	1046958	chr28
HMG20B	1054682	1049753	chr28
C28H19ORF28	1056663	1063291	chr28
LOC101748203	1063133	1067239	chr28
C28H19orf71	1068360	1067550	chr28
CDH1-A	1082506	1070584	chr28
LOC426514	1082681	1085594	chr28
DOHH	1086890	1089952	chr28
LOC101749344	1090419	1092600	chr28
C28H19orf77	1093680	1095209	chr28
LOC430487	1102694	1127276	chr28
MYO5B	1139008	1127762	chr28
LOC100858471	1143633	1146204	chr28
